,ADDITIONAL DESCRIPTION
154,"a) All the persons having their principal place of business within the area of Revenue District of Khurda & Nayagarh, 
b) All the business persons having income below Rs. 15 lakhs."
155,"a) All persons with Salary income less than 15 lakhs & surname starting with alphabets from A to G.
b) All business persons residing including Gandarpur, Sikharpur, Canal road, Naya Bazar(North), Mahanadi Vihar, Malgodown, Chauliaganj, OMP Square, Stion Bazar , Collage Square , Piligrim Road, Jobra Road, Jobra, the east of N.H.5 and north of the Mahanadi, chhatia, Madhupur, Mahanga, Jagatpur, Salepur.
c) All Companies of above locations with income less than 20 lakhs."
156,"a) All Companies and persons of business professions areas of Revenue Districts of Kendrapada, Jajpur, Jagatsinghpur, Keonjhar and areas under Cuttack Municipal Corporation including  Gandarpur, Sikharpur, Canal road, Naya Bazar(North), Mahanadi Vihar, Malgodown, Chauliaganj, OMP Square, Stion Bazar , Collage Square , Piligrim Road, Jobra Road, Jobra, the east of N.H.5 and north of the Mahanadi, chhatia, Madhupur, Mahanga, Jagatpur, Salepur.
b) All Companies with income above Rs. 20 lakhs.
c) All Directors of the all Companies.
d) All persons with business profession income more than Rs. 15 lakhs.
e) All persons with Salary income more than 15 lakhs & surname starting with alphabets from A to G."
162,"a) All persons other than Companies having income more than Rs. 15 lakhs.
b) All Companies, business and profession having income more than Rs. 20 lakhs.
c) All the person residing within the territorial areas of Rairakhol, Jujumara, Maneswar, Dhama, Padabahal, Jamankira of Revenue District of Sambalpur, Revenue District of Jharsuguda including Kuchinda NAC and Bamra block. Sadar sub-division in the Revenue District Sundargarh excluding areas under Rajgangpur and Kansbahal Police Station.
d) All partners of the firms."
163,"a) All persons having Salary Income & not having income from business or profession with Surnames starting with alphabets A, B, C & D.
b) All persons having their principal place of business or profession within the areas of Rourkela, Municipality wards 1, 2, 3, 4, 5 & 6 from Brahmani Bridge to Over Bridge of Birajapali. Civil Township, Panposh Road, Industrial Estate Jail Road labour Tournament, S.T.I. Chowk, Mahatab Road, Notified area of Rajgangpur council and OCl Market."
164,"a) All persons having Salary Income & not having income from business or profession with Surnames starting with alphabets M,N &O.
b) All persons having their principal place of business or profession within the areas of Rourkela, Municipality ward 12, 15 & 19 all sector areas of Steel Town ship. Areas of Main Road starting from Lal Building to Rajak Talkies except plant side road, Old station Road. Areas falling under Vedvyas, Kalunga, Kuarmunda, Biramitrapur, Purunapani and Nuagaon."
165,"a) All Companies and persons with business profession within the area of Revenue District of Sundargarh excluding Sadar sub-division but including areas under Rajgangpur and Kansbahal Police Station
b) All Companies with income above 20 lakhs.
c) All directors of the Companies.
d) All persons with business profession income more than Rs. 15lakhs.
e) All partners of the firms."
170,"All the Trust cases of Revenue Districts of Sambalpur, Bargarh, Bolangir, Sonepur, Kalahandi, Nuapada, Jharsuguda, Deogarh, Sonepur, Kalahandi, Nuapada, Sundargarh in the state of Odisha having income below 5 Crores."
171,"All the Trust cases of Revenue Districts of Cuttack, Kendrapada, Keonjhar, Jajpur, Jagatsinghpur, Balasore ,  Bhadrak, Baripada and  Mayurbhanj in the state of Odisha having income below 5 Crores."
172,"All the Trust cases of Revenue Districts of khurda, Nayagarh, Ganjam, Boudh, phulbani, Gajapati, Koraput, Malkangiri, Nabarangapur, Rayagada and excluding areas under Bhubaneswar Municipal Corporation in the state of Odisha having income below 5 Crores. "
173,"All the Trust cases of Revenue Districts of Puri, Angul, Dhenkanal and areas under Bhubaneswar Municipal Corporation in the state of Odisha having income below 5 Crores."
174,All the Trust cases of Revenue Districts in the State of Odisha having income above 5 Crores. 
175,"All the cases of Companies having total income of Rs.30 lakh and above with names starting with the Alphabets ""AA to AZ"" and its Managing Director or Director or Manager or Secretary  "
176,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabets ""AA to AL"" and its Managing Director or Director or Manager or Secretary  "
180,All the cases of Companies and its Managing Director and all cases of persons having income from business or profession and individuals who are residing  within areas of Chamarajanagar Revenue District.
181,"All the cases  having total income or loss of Rs.20 lakh in cases of companies and Rs.15 lakh in cases other than companies  and above within the jurisdiction assigned to the Income Tax Officers of the Range, except cases assigned or to be assigned to any other Assessing Officer."
182,"All the cases of Companies and its Managing Directors or Director or Manager or Secretary  falling within the territorial areas of the Assessing Officer of Range-1, Mysuru excluding the jurisdiction of ITO, Ward-1, Chamarajanagar.  All cases of persons having income from business or profession and individuals who are residing  within Mysuru City or Urban agglomeration areas of the Mysuru City bounded by (i)  Sayyajirao Road commencing at Basaveshwara Circle passing through K R Circle and ending at Vishweshwaraiah Circle (in the East);  (ii)  Railway Station Road commencing from Vishweshwaraiah Circle and ending at Railway Station Circle (North Side) and Hunsur Road commencing from Metropole Circle and ending at urban agglomeration limits (in the North);  (iii) JLB Road commencing from Railway station circle ending at Hotel Metropole Circle on the South side;  (iv)  Chamaraja Double Road commencing from Basaveshwara Circle ending at Nanjangud Railway Line and Bhogadi Road commencing from Nanjangud Railway line running towards Gaddige Road and ending at urban agglomeration limits (South side) and urban agglomeration limits (West side).  All cases of persons having income from business or profession and individuals who are residing  within the areas of the Revenue Taluk of T Narasipura."
183,All pensioners of Central/ State Governments including PSUs and whose total income is less than Rs.20 lakhs 
184,"All the cases of Companies having total income of Rs.30 lakh and above with names starting with the Alphabets ""F, I and company cases of Ramanagar District"" and its Managing Director or Director or Manager or Secretary  "
191,"All the cases of Company and its MD or Director or Manager or Secretary, business or profession and individuals within the territorial areas of Tiswadi Revenue Taluka or City or Urban agglomeration areas of the Panaji City and whose names begin with any of the letter of alphabet between ""K to O"""
192,"All the cases  having total income or loss of Rs.20 lakh in cases of companies and Rs.15 lakh in cases other than companies  and above within the jurisdiction assigned to the Income Tax Officers of the Range, except cases assigned or to be assigned to any other Assessing Officer."
193,"All the cases of Company and its MD or Director or Manager or Secretary, business or profession and individuals within the territorial areas of Tiswadi Revenue Taluka or City or Urban agglomeration areas of the Panaji City and whose names begin with any of the letter of alphabet between ""A to E"""
197,"All the cases of Companies having total income of Rs.30 lakh and above with names starting with the Alphabets ""SA to SG/ Company cases of Chikkaballapur District"" and its Managing Director or Director or Manager or Secretary"
198,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabets ""SA to SG/ Company cases of Chikkaballapur District "" and its Managing Director or Director or Manager or Secretary"
204,"All pensioners of Central/State Governments including PSU's. 
All employees of SBI, SBM, BOI, BOB, RBI & subsidiaries; Co-op. banks & subsidiaries; Private Banks, Other Banks not specifically covered under AOs of Range-1(3)or3(3)or5(3), B'lore.  All employees of UAS, Hebbal, &  Bengaluru University; all educational & research institutions including IISc & IIM, etc.; hospitals like NIMHANS, etc. All cases of Refunds claimed u/s. 237; & Residual cases whose total income is Rs.20 lakhs and above."
205,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabets ""F and company cases of Ramanagar District"" and its Managing Director or Director or Manager or Secretary  "
206,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabet ""H"" and its Managing Director or Director or Manager or Secretary  "
215,"All the cases of Company and its MD or Director or Manager or Secretary, business or profession and individuals within the territorial areas of Belthangady, Puttur and Sulia Taluka of Dakshina Kannada District."
216,"All the cases  having total income or loss of Rs.20 lakh in cases of companies and Rs.15 lakh in cases other than companies  and above within the jurisdiction assigned to the Income Tax Officers of the Range, except cases assigned or to be assigned to any other Assessing Officer."
217,"All cases of person within the territorial jurisdiction of Revenue Districts of Mysore, Mandya, Hassan, Chamarajanagar, Chikkamagalur and Kodagu in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961."
218,"All the cases of Company and its MD or Director or Manager or Secretary, business or profession and individuals within the territorial areas of Mangaluru City or Urban agglomeration areas of the Mangalore City Corporation Ward Numbers 1 to 11, 44 and 45 and territorial areas covered from Haleangady to Mulki (including Pakshikere) of Mangaluru Taluka of Dakshina Kannada District."
223,"All cases of person within the territorial jurisdiction of Revenue Districts of Gadag, Haveri, Shimoga, Koppal, Chitradurga, Dharwad and Davangere in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961."
224,"All cases of person within the territorial jurisdiction of Revenue Districts of North Goa and South Goa in the State of Goa and Revenue District of Belgaum in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961."
225,"All cases of person within the territorial jurisdiction of Revenue Districts of Gulbarga, Bijapur, Raichur, Bidar, Bellary, Bagalkot and Yadgir in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961."
226,"All the cases of persons within the territorial jurisdiction of all the Revenue Districts in the States of Karnataka and Goa and claiming exemption u/s 13A and 13B of the IT Act, 1961.  All the cases of persons within the territorial jurisdiction of Revenue Districts of Bangalore Urban, Bangalore Rural, Mysore, Hassan, Tumkur, Kolar, Mandya, Chamrajanagar, Chikkaballapur, Chikkamagalur, Ramanagara and Kodagu in the State of Karnataka claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) and (47) of section 10, section 11 and section 12 of the  IT Act, 1961."
228,"All cases of person whose names begin with alphabet ""A to L"" within the territorial jurisdiction of Revenue Districts of Bangalore Urban, Bangalore Rural in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961."
229,"All the cases of persons within the territorial jurisdiction of Revenue Districts of Belgaum, Gulbarga, Yadgir, Dakshina Kannada, Uttara Kannada, Dharwad, Davangere, Udupi, Haveri, Shimoga, Gadag, Koppal, Chitradurga, Bijapur, Bagalkot, Raichur, Bidar, Bellary in the State of Karnataka and Revenue Districts of North Goa and South Goas in the State of Goa and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) and (47) of section 10, section 11 and section 12 of the  IT Act, 1961."
230,"All cases of person whose names begin with alphabet ""S"" within the territorial jurisdiction of Revenue Districts of Bangalore Urban, Bangalore Rural in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961 and Revenue Districts of Tumkur, kolar, Ramanagara and Chikkaballapur in the State of Karnataka."
231,"All cases of person within the territorial jurisdiction of Revenue Districts of Uttara Kannada, Dakshina Kannada and Udupi in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961."
232,"All cases of person whose names begin with alphabet ""S"" within the territorial jurisdiction of Revenue Districts of Bangalore Urban, Bangalore Rural in the State of Karnataka and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA). (24), (46) and (47) of Section 10, Section 11 and Section 12 of the IT Act 1961 and Revenue Districts of Tumkur, kolar, Ramanagara and Chikkaballapur in the State of Karnataka."
233,All cases of persons other than company and salary cases having total income of less than Rs.20 lakh  and falling within the areas of Pin Code  560076
234,"All cases of persons other than company and salary cases having total income of less than Rs.20 lakh  and falling within the areas of Pin Code 560078 and starting with the alphabets ""A to M"""
235,"All cases of persons other than company and salary cases having total income of Rs.20 lakh and above and falling within the areas of Pin Code 560076, 560034, 560095, 560078, 560068, 560102, 560083, 560099, 560105, 562107 & 562125  "
236,All cases of persons other than company and salary cases having total income of less than Rs.20 lakh  and falling within the areas of Pin Code 560034 & 560095
237,All cases of persons other than company and salary cases having total income of less than Rs.20 lakh  and falling within the areas of Pin Code 560020 & 560021
238,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabet ""D"" and its Managing Director or Director or Manager or Secretary  "
239,"All the cases of Companies having total income of Rs.30 lakh and above with names starting with the Alphabets ""J, L and company cases of Kolar District"" and its Managing Director or Director or Manager or Secretary  "
240,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabet ""MA to ML"" and its Managing Director or Director or Manager or Secretary  "
241,"All cases of persons other than company and salary cases having total income of Rs.20 lakh and above and falling within the areas of Pin Code 560020, 560021, 560010, 560003, 560055 & 560053"
242,All cases of persons other than company and salary cases having total income of less than Rs.20 lakh  and falling within the areas of Pin Code 560003 & 560055
243,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabet ""V"" and its Managing Director or Director or Manager or Secretary"
244,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabets ""TA to TO"" and its Managing Director or Director or Manager or Secretary"
245,"All the cases of Companies having total income of Rs.30 lakh and above with names starting with the Alphabets ""TA to TZ & U"""
246,All cases of persons other than company and salary cases having total income of less than Rs.20 lakh  and falling within the areas of Pin Code 560010
247,"All cases of persons other than company and salary cases having total income of less than Rs.20 lakh  and falling within the areas of Pin Code 560053 (having alphabets ""N to Z"")"
248,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabets ""J or L and company cases of Kolar District"" and its Managing Director or Director or Manager or Secretary  "
249,"All the cases of Companies  having total income less than Rs.30 lakhs and with names starting with the Alphabets ""CA to CL"" and its Managing Director or Director or Manager or Secretary  "
254,"All the cases of Companies having total income of Rs.30 lakh and above with names starting with the Alphabets ""CA to CZ"" and its Managing Director or Director or Manager or Secretary  "
261,"All the cases of Company and its MD or Director or Manager or Secretary, business or profession and individuals within the territorial areas of Bidar Revenue District"
262,"All the cases of Company and its MD or Director or Manager or Secretary falling in the territorial areas mentioned in Hubli Taluka of Dharwad Revenue District, whose name begins with any of the letter of alphabet ""A to L"" and  Revenue Talukas of Kalaghatagi, Navalgund, Kundagol in Dharwad Revenue District. All the cases of persons having income from business or profession and individuals within the territorial areas of Hubli revenue Taluka or City or Urban agglomeration areas of the Hubli city and whose names begin with any of the letter of alphabet ""A or B or C"" and within the territorial areas of Kundagol Revenue Taluka"
263,"All the cases of Company and its MD or Director or Manager or Secretary, business or profession and individuals within the territorial areas falling in Sirsi, Yellapur, Siddapura and Mundgod Talukas of Uttara Kannada (Karwar) Revenue District."
264,"All the cases  having total income or loss of Rs.20 lakh in cases of companies and Rs.15 lakh in cases other than companies  and above within the jurisdiction assigned to the Income Tax Officers of the Range, except cases assigned or to be assigned to any other Assessing Officer."
265,"All the cases  having total income or loss of Rs.20 lakh in cases of companies and Rs.15 lakh in cases other than companies  and above within the jurisdiction assigned to the Income Tax Officers of the Range, except cases assigned or to be assigned to any other Assessing Officer."
271,"All the cases  having total income or loss of Rs.20 lakh in cases of companies and Rs.15 lakh in cases other than companies  and above within the jurisdiction assigned to the Income Tax Officers of the Range, except cases assigned or to be assigned to any other Assessing Officer."
272,"All the cases of Company and its MD or Director or Manager or Secretary within the territorial areas of Gulbarga Revenue District.  All the cases of persons deriving income from business or profession and individuals within the territorial areas of Gulbarga Revenue Taluka or city or urban agglomeration areas of the Gulbarga City and whose names begin with any of the letter of alphabet between ""A to I"" and  territorial areas of Chincholi and Sedam Revenue Taluka."
273,"All the cases of Company and its MD or Director or Manager or Secretary, business or profession and individuals within the territorial areas of Ward No's 1 to 8, Belagavi City Corporation or Urban agglomeration areas of Belagavi City listed hereunder: 1)  Angol (including Angol Industrial Area, Nath Pai Nagar, Syndicate Colony, Shivshakti Nagar, Vada Compound, Raghunath Peth, Ambedkar Nagar, Kanakadas Colony, Indira Colony, Zatpat Colony, BUDA Colony, Sant Meera area, Vidya Nagar, Bhagya Nagar, Sahyadri Colony, Gulmohar Colony, Chidambar Nagar and Mrtunjay Nagar);  2)  Angol C Scheme (including BhagyaNagar, Hindu Nagar, Rani Channamma Nagar 1st & 2nd Stage, raghavendra Colony, parvati Nagar, Laxmi Nagar, Guruprasad Colony, Kaveri Nagar and Bhavani Nagar); 3)  Majagaon including Harijanwada, Mahaveer Nagar, Shantisagar Colony and  4)  Udyambag."
275,"All the cases of Company and its MD or Director or Manager or Secretary , business or profession and individuals within the territorial areas of Yadgir Revenue District"
280,"Hastnath Nagar, Rustamkhan ka Ahata, Pratap Nagar, Shyamla Hills, Professior Collony, Civil line, Van Vihar Road
Banganga, Sanjay Nagar, Jawahar Chowk, MLA Qrts, Jhrneshwar
Complex, Bilkheda , Bisenkhedi, Prempura, Suraj Nagar, Bhadbadha Road, Kerwa Dam Road, P&T Colony, Depot Chouraha Sanjay Nagar Rajeev Nagar, Akriti Garden, Kotra Sultanabad, Nehru Nagar Main Road, Akashwani Colony, Gomti Colony Ganga Nagar Aradhana Nagar, Ambedkar-Sudama Nagar, Gitanjali, Sanjay Colony, Apex Bank Colony, Aayakar Colony, Vaishali Nagar East. 
Nehru Nagar, Vaishali Nagar West, Chandan Pura Rahul Nagar
All cases of companies referred to in whose names begin with the
alphabet ‘A’ or ‘B’ in whose cases income/loss as per latest return of income is upto Rs. 15 lakhs. &
All cases of persons referred to in whose names begin with the
alphabet ‘A’ to ‘M’ and in whose case income/loss as per latest return of income is upto Rs. 15 lakhs of Mandideep Industrial Area."
281,"Shivaji Nagar, Bank Colony, MP Nagar Zone- 1&II, Amber Complex,
Ankur Complex, Press Complex at Habibganj Station
All cases of companies referred to in whose names begin with the
alphabet ‘C’ or ‘D’ in whose cases income/loss as per latest return of income is upto Rs. 15 lakhs."
282,"Gandhi Nagar, Pipalner, Godarmau Airport Road, Bhensa Khedi, Bairagarh Kalan, Laukhedi, Singarcholi, Nayapura, Lalghati, Suraj Nagar, Railway Crossing to Indore Naka, Lalghati Square to Halapura Bus Stand anjay Colony, Bhopal Indore Road, New Bairak No. 1 to 22. Onetree Hills, Gangotri Colony, Chanchal Couraha & Bairagarh City. Ramanand Nagar, Gufa Mandir, Durga Nagar, Karbala Road, Koh-e-fiza NRI Colony, Ahmadabad Palace, VIP Road, SBI Square to Lalghati Motia Talab, Noor Mahal, Hawa Mahal, 12 Mahal, Malipura, Fatehgarh Fire Brigade, Southern Part of Peergate, Nadra Complex, Royal Market, Hamidia Hospital. Putli Ghar, Shafiqia School, Shahanabad, Imambada, Bajaria Road, Thana Road Amirganj, Prabhu Nagar, Idgah Hills, TB Hospital, Cancer Hospital, Old Court, Goal Ghar, Advocate Colony, BDA Colony Kumaharpura, Sharma Colony, Kabitpura, Basti of Sanjay Nagar, Idgah Hills, Western Area of Sahahjahanabad Regiment Road. Nishatpura, Nariyal Kheda, Premnagar, Nevari, Teela Jamalpura, Bhopal Talkies to DIG Bunglows, Geetanjali College, Green Park Colony, Firdous Nagar, Berasia Road, DIG Bunglow.  Congress Nagar, Regiment Road, Nagar Nigam Colony, Ravidaspura.
All cases of companies referred to in whose names begin with the alphabet ‘N’ or ‘O’ or ‘P’ or ’Q’ in whose cases income/loss as per latest return of income is above Rs. 15 lakhs.
All cases of persons referred to in whose principal source of income is from salary and who are employees or pensioners of Central Government inwhose case income returned as per latest return of income is above Rs. 10 lakhs."
283,"Gandhi Nagar, Pipalner, Godarmau Airport Road, Bhensa Khedi, Bairagarh Kalan, Laukhedi, Singarcholi, Nayapura, Lalghati, Suraj Nagar, Railway Crossing to Indore Naka, Lalghati Square to Halapura Bus Stand anjay Colony, Bhopal Indore Road, New Bairak No. 1 to 22. Onetree Hills, Gangotri Colony, Chanchal Couraha & Bairagarh City. 

All cases of companies referred to in whose names begin with the alphabet 'N’ in whose cases income/loss as per latest return of income is upto Rs. 15 lakhs."
284,"all cases of companies referred to in whose cases income/loss as per latest return of income is upto Rs. 15 lakhs in Sehore District.
all cases of persons referred to in whose principal source of income is from salary in whose case income returned as per latest return of income is upto Rs. 10 lakh of Sehore District."
290,"In the state of Madhya Pradesh:-
(a) District of Dhar
 (b) District of Indore
(c) Municipal wards of Indore as per Gazette Notification No. 820 of Madhya
Pradesh Government published on 04/07/2014.
(i) 19-Vishwakarma
(ii)22-Pt.Deendayal Upadhyay
(iii) 33-Sukhaliya
(iv)34-Shahid Bhagat Singh
(v) Part of 55- South Tukoganj (Part of the ward having Area on the right hand side of Road from Shivaji Vatika square to Regal Square via Madhumilan Square 
and Dawa Bazar)
(x)71-Dravid Nagar,
(vii)80-Dr.Rajinder Prasad,
(xxxv) 81-Annapurna,
(ix)82-Sudama Nagar,
 (xi)83-Gumasta Nagar,
(viii)84-Dwarkapuri,
 (xii)85-Prajapat Nagar,
Following Tehsils of Indore District:
(d) Tehsil of Sanwer (e) Tehsil of Hatod"
291,"In the state of Madhya Pradesh:-
(a) District of Indore
(b) Municipal wards of Indore as per Gazette Notification No. 820 of Madhya
Pradesh Government published on 04/07/2014.
 (i) 19-Vishwakarma
(ii) Part of 55- Only Dawa Bazar
Following Tehsils of Indore District:
(c) Tehsil of Sanwer (d) Tehsil of Hatod "
292,"In the state of Madhya Pradesh:-
(a) District of Dhar except the Municipal area of Pithampur. "
293,"In the state of Madhya Pradesh:-
(a) Municipal wards of Ujjain District as per Gazette Notification No. 1945 of Madhya Pradesh Government published on 15.03.2005
Municipal Ward Nos.01 to 18 of Ujjain, "
294,"In the state of Madhya Pradesh:-
(a) District of Indore
(b) Municipal wards of Indore District as per Gazette Notification no. 820 of Madhya Pradesh Government published on 04/07/2014.
(i)3-Kalani Nagar,
(ii)4-Sukhadev Nagar,
(iii)5-Rajnagar,
(iv)6-Malharganj
(v)7-Janta Colony
(vi)8-Juna Risala,
 (vii)9-Vrindavan
(viii) 10-Banganga,
(ix) 11-Bhagirathpura
(x) 12-Govind colony
(xi)13-Sangam Nagar
(xii) 14-Ashok Nagar
(xiii) 15-Bijasan
(xiv) 16-Nandbag
(xv) 17-Kushwaha Nagar
(xvi) 18-Sant Kabir
(xvii)60-Ranipura,
(xviii), 61-Tatya Sarwate
(xix)62- Raoji Bazar
Following Tehsil of Indore District:
(c) Tehsil of Depalpur "
300,"In the state of Madhya Pradesh:
(a) District of Chhattarpur;
(b) District of Tikamgarh;
(c) District of Datia;
(d) Tehshil of Dabra in the District of Gwalior;
(e) Tehshil of Bhittarwar in the District of Gwalior;
(f) Tehshil of Chinour in the District of Gwalior; and
(g) Municipal Wards of Gwalior Municipal Corporation:
Ward Name Ward No.
Gargaj 1
Scindia 2
Shabad Pratap Ashram 3
Koteshwar 4
Tameshwar 5
Sant Ravidas 33
Mahatma Gandhi 34
Lala Lajpat Rai 35
Rajeev 36
Shahid Hetu Colony 41
Sant Jhulelal 42
Shahid Amar Banthiya 43
Maithalisharan Gupt 44
Pandit Krishna Rao Shankar Rao 47
Shahid Captain Gaur 48
Mahatma Jyotiba Phule 49
Manshoor Shah Data 50
Ashfaak Ulla Khan 51
Major Kartar Singh 53
Maqbool Ahmad 55
Girwai 65"
301,"In the state of Madhya Pradesh:
(a) District of Chhattarpur."
302,"In the state of Madhya Pradesh:
(a) District of Tikamgarh"
306,"Hastnath Nagar, Rustamkhan ka Ahata, Pratap Nagar, Shyamla Hills, Professior Collony, Civil line, Van Vihar Road Banganga, Sanjay Nagar, Jawahar Chowk, MLA Qrts, Jhrneshwar
Complex, Bilkheda , Bisenkhedi, Prempura, Suraj Nagar, Bhadbadha Road, Kerwa Dam Road, P&T Colony, Depot Chouraha  Sanjay Nagar Rajeev Nagar, Akriti Garden, Kotra Sultanabad, Nehru Nagar Main Road, Akashwani Colony, Gomti Colony Ganga Nagar Aradhana Nagar, Ambedkar-Sudama Nagar, Gitanjali, Sanjay Colony, Apex Bank Colony, Aayakar Colony, Vaishali Nagar East. Nehru Nagar, Vaishali Nagar West, Chandan Pura Rahul Nagar Shyam Nagar, Chuna Bhatti, Kolar Guest House to Shahpura Pulia Shiv Nagar Jhuggi, Mata Mandir, Kshipra Complex, Anjali Complex, CI Homes, Tarun Pushkar, Nanke Petrol Pump, Apex Bank, 74 Bungalows Shastri Nagar, Sarswati Nagar, New Market Centre Point, TT Nagar, Dashara Maidan, Pletinum Plaza, Triveni Complex, GTB Complex MLA Rest House, Jail Road, Mother Terisa Road Old Milk Dairy Jehangirabad, New Vasundhra Bank Colony, New Church Colony, Ahirpura, Ravidas Pura, Silavat Pura, Motia Talab, Jinsi Line Yadav Pura, Kumhar Pura, Jehangirabad Chiklod Road, Raj Bhawan, Old Vidhan Sabha, Malviya Nagar. Shivaji Nagar, Bank Colony, MP Nagar Zone- 1&II, Amber Complex, Ankur Complex, Press Complex at Habibganj Station
All cases of companies referred to in whose names begin with the
alphabet ‘A’ or ‘B’ or ‘C’ or ’D’ or ‘E’ or ‘F’ or ‘G’ in whose cases
income/loss as per latest return of income is above Rs. 15 lakhs.
&
All cases of persons referred to in whose names begin with the
alphabet ‘A’ to ‘M’ and in whose case income/loss as per latest return of income is above Rs. 15 lakhs of Mandideep Industrial Area.
All cases of persons referred to in whose principal source of income is from salary and who are employees or pensioners of State Government or whose salary is drawn from Government of Madhya Pradesh including employees working in Governor’s Secretariat in whose case income returned as per latest return of income is above Rs. 10 lakhs.
Some special cases
i. The Hon’ble Governor of Madhya Pradesh.
ii. All Ministers including Chief Minister, Ministers of State, Deputy
Ministers, Parliamentary Secretaries of Government of Madhya
Pradesh, Leader of Opposition, Speaker, Deputy Speaker and their
attached staff."
307,All cases of persons referred to in whose principal source of income is from salary and who are employees or pensioners of Central Government in whose case income returned as per latest return of income is upto Rs. 10 lakhs
314,"In the state of Madhya Pradesh:-
(a) District of Indore
(b) Municipal wards of Indore as per Gazette Notification No. 820 of Madhya
Pradesh Government published on 04/07/2014.
(i)71-Dravid Nagar,
(ii) 80-Dr. Rajendra Prasad,
(iii) 81-Annapurna,
(iv)82-Sudama Nagar,
(v) 83-Gumasta Nagar,
(vi)84- Dwarkapuri,
 (vii)85-Prajapat Nagar, "
315,"In the state of Madhya Pradesh:- 
(a) District of Indore
(b) Municipal wards of Indore District as per Gazette Notification no. 820 of Madhya Pradesh Government published on 04/07/2014.
(i)3-Kalani Nagar,
(ii)4-Sukhdev Nagar,
(iii)7-Janta Colony
(iv)14-Ashok Nagar
(v)60-Ranipura (Right Hand Side of Jawahar Marg, from Patel Bridge to Ranipura Square including Warehouse Road and Entire Siyaganj),
(vi)62- Raoji Bazar"
316,"In the state of Madhya Pradesh:-
(a) District of Indore
(b) Municipal wards of Indore District as per Gazette Notification no. 820 of Madhya Pradesh Government published on 04/07/2014.
(i)11-Bhagirathpura,
(ii)12-Govind Colony
(iii)17-Kushwaha Nagar,
(iv)60-Ranipura(Left Hand Side of Jawahar Marg from Patel Bridge to Raj Mohalla and Right Hand Side of Jawahar Marg from Sanjay Setu to Raj Mohalla), "
317,"In the state of Madhya Pradesh:-
(a) Municipal wards of Ujjain District as per Gazette Notification No. 1945 of Madhya Pradesh Government published on 15.03.2005
Municipal Ward Nos.01 to 36 of Ujjain 
(b) District of Agar
(c) District of Dewas
Following Tehsils of Ujjain District:
(d) Tehsil of Mahidpur,
(e) Tehsil of Ghatia
(f) Tehsil of Tarana "
318,"In the state of Madhya Pradesh:-
(a) Municipal wards of Dewas District as per Gazette Notification No. 1453 of Madhya Pradesh Government published on 07.03.2014
Municipal Ward Nos.01 to 30 of Dewas
Following Tehsils of District Dewas
(b) Tehsil of Sonkutch,
(c) Tehsil of Hatpipaliya
(d) Tehsil of Tonkkhurd. "
319,"In the state of Madhya Pradesh:-
(a) In District of Indore
All AIR,CIB & salary cases falling within the jurisdiction as signed to Addl./Jt. CIT,  Range-1, Indore
(b) In district of Dhar Municipal Corporation of Pithampur"
